combo_index,trend_label,range_ratio,variance_ratio,variogram_type,residual_seed,residual_range_m,folder,actual_trend_to_total_var,f_regular,nugget
122,Gaussian Random Field - 2,0.15,0.4,Spherical,1422,150.0,GS_experiment_datasets/0122_Gaussian_Random_Field___2_rr0.15_vr0.4_fr1_Spherical,0.4017193285376032,1.0,0
123,Gaussian Random Field - 2,0.15,0.5,Spherical,1423,150.0,GS_experiment_datasets/0123_Gaussian_Random_Field___2_rr0.15_vr0.5_fr0.25_Spherical,0.501166837516562,0.25,0
124,Gaussian Random Field - 2,0.15,0.5,Spherical,1424,150.0,GS_experiment_datasets/0124_Gaussian_Random_Field___2_rr0.15_vr0.5_fr0.5_Spherical,0.5016099166308571,0.5,0
125,Gaussian Random Field - 2,0.15,0.5,Spherical,1425,150.0,GS_experiment_datasets/0125_Gaussian_Random_Field___2_rr0.15_vr0.5_fr1_Spherical,0.5007715119754556,1.0,0
126,Gaussian Random Field - 2,0.15,0.6,Spherical,1426,150.0,GS_experiment_datasets/0126_Gaussian_Random_Field___2_rr0.15_vr0.6_fr0.25_Spherical,0.6007499950112358,0.25,0
127,Gaussian Random Field - 2,0.15,0.6,Spherical,1427,150.0,GS_experiment_datasets/0127_Gaussian_Random_Field___2_rr0.15_vr0.6_fr0.5_Spherical,0.6266715585929558,0.5,0
128,Gaussian Random Field - 2,0.15,0.6,Spherical,1428,150.0,GS_experiment_datasets/0128_Gaussian_Random_Field___2_rr0.15_vr0.6_fr1_Spherical,0.6000928803025167,1.0,0
129,Gaussian Random Field - 2,0.15,0.7,Spherical,1429,150.0,GS_experiment_datasets/0129_Gaussian_Random_Field___2_rr0.15_vr0.7_fr0.25_Spherical,0.7188845676087737,0.25,0
130,Gaussian Random Field - 2,0.15,0.7,Spherical,1430,150.0,GS_experiment_datasets/0130_Gaussian_Random_Field___2_rr0.15_vr0.7_fr0.5_Spherical,0.7062837785468066,0.5,0
131,Gaussian Random Field - 2,0.15,0.7,Spherical,1431,150.0,GS_experiment_datasets/0131_Gaussian_Random_Field___2_rr0.15_vr0.7_fr1_Spherical,0.7001299191201787,1.0,0
132,Gaussian Random Field - 2,0.2,0.4,Spherical,1432,200.0,GS_experiment_datasets/0132_Gaussian_Random_Field___2_rr0.2_vr0.4_fr0.25_Spherical,0.4004622583506319,0.25,0
133,Gaussian Random Field - 2,0.2,0.4,Spherical,1433,200.0,GS_experiment_datasets/0133_Gaussian_Random_Field___2_rr0.2_vr0.4_fr0.5_Spherical,0.40082366586091794,0.5,0
134,Gaussian Random Field - 2,0.2,0.4,Spherical,1434,200.0,GS_experiment_datasets/0134_Gaussian_Random_Field___2_rr0.2_vr0.4_fr1_Spherical,0.40808963745595267,1.0,0
135,Gaussian Random Field - 2,0.2,0.5,Spherical,1435,200.0,GS_experiment_datasets/0135_Gaussian_Random_Field___2_rr0.2_vr0.5_fr0.25_Spherical,0.5034378433600867,0.25,0
